x,y,classification,first_stable_step,max_decision_risk,max_path_length_delta,max_normal_angle_delta,ownership_transition,stable_at_0.00625,stable_at_0.003125,risk_0.00625,risk_0.003125,path_delta_0.00625,path_delta_0.003125,normal_delta_0.00625,normal_delta_0.003125
42,36,stable,0.016,0.002547,0.020764,0.0,0,1,1,0.000472,0.000544,0.003201,0.003489,0.0,0.0
42,37,stable,0.02,0.001246,0.010176,0.0,0,1,1,0.000328,0.000396,0.002419,0.002706,0.0,0.0
42,38,stable,0.014,0.001901,0.015643,0.0,0,1,1,0.000248,0.000297,0.001636,0.001923,0.0,0.0
42,39,stable,0.016,0.002406,0.018731,0.0,0,1,1,0.000466,0.000534,0.002415,0.002702,0.0,0.0
42,40,stable,0.02,0.0016,0.01214,0.0,0,1,1,0.000345,0.000429,0.001632,0.001919,0.0,0.0
42,41,stable,0.02,0.001889,0.014646,0.0,0,1,1,0.000987,0.000704,0.007099,0.004261,0.0,0.0
42,42,stable,0.016,0.00219,0.017134,0.0,0,1,1,0.000894,0.000611,0.006316,0.003478,0.0,0.0
43,26,stable,0.016,0.002474,0.019843,0.0,0,1,1,0.000693,0.000389,0.004783,0.001945,0.0,0.0
43,27,stable,0.02,0.002179,0.018091,0.0,0,1,1,0.000604,0.000305,0.004781,0.001943,0.0,0.0
43,28,stable,0.018,0.001671,0.013121,0.0,0,1,1,0.000775,0.000475,0.00556,0.002722,0.0,0.0
43,29,stable,0.015,0.002339,0.019369,0.0,0,1,1,0.000699,0.000399,0.005558,0.00272,0.0,0.0
43,30,stable,0.02,0.001585,0.012162,0.0,0,1,1,0.000989,0.000305,0.007118,0.001155,0.0,0.0
43,31,stable,0.018,0.001668,0.013428,0.0,0,1,1,0.000177,0.00026,0.000866,0.001153,0.0,0.0
43,32,stable,0.015,0.002273,0.018895,0.0,0,1,1,3.9e-05,0.000102,8.3e-05,0.00037,0.0,0.0
43,33,stable,0.02,0.001415,0.010677,0.0,0,1,1,0.000347,0.000419,0.001643,0.00193,0.0,0.0
43,34,stable,0.015,0.001525,0.012173,0.0,0,1,1,0.000177,0.000261,0.00086,0.001147,0.0,0.0
43,35,stable,0.016,0.00224,0.018421,0.0,0,1,1,0.000151,0.000238,0.000858,0.001145,0.0,0.0
43,36,stable,0.02,0.001273,0.009395,0.0,0,1,1,0.000348,0.000431,0.001637,0.001925,0.0,0.0
43,37,stable,0.014,0.001914,0.014862,0.0,0,1,1,0.000261,0.000329,0.000854,0.001142,0.0,0.0
43,38,stable,0.016,0.002071,0.016388,0.0,0,1,1,0.000876,0.000559,0.006322,0.003484,0.0,0.0
43,39,stable,0.02,0.001498,0.011839,0.0,0,1,1,0.00075,0.000452,0.005539,0.002701,0.0,0.0
43,40,stable,0.02,0.001878,0.015265,0.0,0,1,1,0.00063,0.000347,0.004756,0.001918,0.0,0.0
43,41,stable,0.016,0.001826,0.014791,0.0,0,1,1,0.00054,0.000222,0.003973,0.001135,0.0,0.0
43,42,stable,0.018,0.002239,0.018254,0.0,0,1,1,0.000447,0.000129,0.00319,0.000352,0.0,0.0
44,26,stable,0.02,0.001827,0.014967,0.0,0,1,1,0.000265,0.000318,0.001657,0.001944,0.0,0.0
44,27,stable,0.018,0.001425,0.010872,0.0,0,1,1,0.000503,0.00057,0.003217,0.003504,0.0,0.0
44,28,stable,0.016,0.002056,0.017026,0.0,0,1,1,0.00042,0.000488,0.003215,0.003502,0.0,0.0
44,29,stable,0.02,0.002261,0.018056,0.0,0,1,1,0.000593,0.000292,0.003994,0.001156,0.0,0.0
44,30,stable,0.018,0.001518,0.012287,0.0,0,1,1,0.000542,0.000226,0.003992,0.001154,0.0,0.0
44,31,stable,0.015,0.002304,0.018114,0.0,0,1,1,0.000811,0.000525,0.005552,0.002714,0.0,0.0
44,32,stable,0.02,0.001815,0.014345,0.0,0,1,1,0.000765,0.000459,0.00555,0.002712,0.0,0.0
44,33,stable,0.02,0.001704,0.013802,0.0,0,1,1,0.000637,0.000339,0.004767,0.001929,0.0,0.0
44,34,stable,0.016,0.002152,0.016859,0.0,0,1,1,0.000803,0.00052,0.005547,0.002708,0.0,0.0
44,35,stable,0.02,0.001682,0.01308,0.0,0,1,1,0.000781,0.000499,0.005545,0.002707,0.0,0.0
44,36,stable,0.02,0.00156,0.012519,0.0,0,1,1,0.000634,0.00035,0.004762,0.001924,0.0,0.0
44,37,stable,0.016,0.001833,0.014826,0.0,0,1,1,0.000639,0.000341,0.00476,0.001922,0.0,0.0
44,38,stable,0.02,0.001289,0.010385,0.0,0,1,1,0.000502,0.000195,0.003977,0.001139,0.0,0.0
44,39,stable,0.02,0.001879,0.014483,0.0,0,1,1,0.000626,0.000339,0.003975,0.001137,0.0,0.0
44,40,stable,0.016,0.001819,0.014009,0.0,0,1,1,0.000532,0.000582,0.003192,0.003479,0.0,0.0
44,41,stable,0.018,0.002219,0.017473,0.0,0,1,1,0.000415,0.000479,0.002409,0.002696,0.0,0.0
44,42,stable,0.02,0.001905,0.014886,0.0,0,1,1,0.000321,0.000385,0.001626,0.001913,0.0,0.0
45,26,stable,0.02,0.001984,0.015595,0.0,0,1,1,0.0009,0.000581,0.006343,0.003505,0.0,0.0
45,27,stable,0.018,0.001697,0.013902,0.0,0,1,1,6.3e-05,0.000126,9.1e-05,0.000378,0.0,0.0
